"jmdict_seq","kanji","kana","waller_definition","origin","original"
2394370,,"あ","Ah","waller",
2394370,,"あっ","Ah","jmdict","あ"
2394370,,"アッ","Ah","jmdict","あ"
2394370,,"アっ","Ah","jmdict","あ"
2394370,,"ア","Ah","jmdict","あ"
2085080,,"ああ","like that","waller",
1151120,,"あいさつ","to greet","waller",
1151120,,"あいさつ","to greet","jmdict","あいさつ"
1215230,"間","あいだ","a space","waller",
1215230,"間","あわい","a space","jmdict","あいだ"
1284430,"合う","あう","to match","waller",
1284430,"合う","おう","to match","jmdict","あう"
1383260,,"あかちゃん","infant","waller",
1383260,"赤ちゃん","あかちゃん","infant","jmdict","あかちゃん"
1352290,"上る","あがる","to rise","waller",
1352290,"上がる","あがる","to rise","jmdict","上る"
1352290,,"あがる","to rise","jmdict","上る"
1383310,,"あかんぼう","baby","waller",
1383310,,"あかんぼ","baby","jmdict","あかんぼう"
1383310,"赤んぼ","あかんぼ","baby","jmdict","赤ん坊"
1383310,"赤んぼう","あかんぼう","baby","jmdict","赤ん坊"
1586270,"空く","あく","to open, to become empty","waller",
1015220,,"アクセサリー","accessory","waller",
1015220,,"アクセサリ","accessory","jmdict","アクセサリー"
1352320,,"あげる","to give","waller",
1390800,,"あさい","shallow,superficial","waller",
1526960,"味","あじ","flavour","waller",
1015840,,"アジア","Asia","waller",
1015840,,"アジア","Asia","jmdict","アジア"
1584660,"明日","あす","tomorrow","waller",
1542070,"遊び","あそび","play","waller",
1542070,,"あそび","play","jmdict","遊び"
1333550,"集る","あつまる","to gather","waller",
1333550,"集まる","あつまる","to gather","jmdict","集る"
1333560,"集める","あつめる","to collect something","waller",
1017330,,"アナウンサー","announcer","waller",
1017330,,"アナウンサ","announcer","jmdict","アナウンサー"
1929050,,"アフリカ","Africa","waller",
1929050,,"アフリカ","Africa","jmdict","アフリカ"
1149830,,"アメリカ","America","waller",
1149830,,"アメリカ","America","jmdict","アメリカ"
1323010,,"あやまる","to apologize","waller",
1019280,,"アルコール","alcohol","waller",
1019280,,"アルコホル","alcohol","jmdict","アルコール"
1019420,,"アルバイト","part-time job","waller",
1153890,"安心","あんしん","relief","waller",
1153890,"安神","あんしん","relief","jmdict","安心"
1153930,"安全","あんぜん","safety","waller",
1153930,"安全","あんせん","safety","jmdict","あんぜん"
1000590,,"あんな","such","waller",
