"jmdict_seq","kanji","kana","waller_definition","origin","original"
1198180,"会う","あう","to meet","waller",
1198180,,"あう","to meet","jmdict","会う"
1381380,"青","あお","blue","waller",
1381380,,"あお","blue","jmdict","青"
1381390,"青い","あおい","blue","waller",
1381390,,"あおい","blue","jmdict","青い"
2013900,"赤","あか","red","waller",
2013900,,"あか","red","jmdict","赤"
1383240,"赤い","あかい","red","waller",
1383240,,"あかい","red","jmdict","赤い"
1532350,"明い","あかるい","bright","waller",
1532350,"明るい","あかるい","bright","jmdict","明い"
1332650,"秋","あき","autumn","waller",
1586270,"開く","あく","to open, to become open","waller",
1586270,,"あく","to open, to become open","jmdict","開く"
1202450,"開ける","あける","to open","waller",
1202450,,"あける","to open","jmdict","開ける"
1352320,"上げる","あげる","to give","waller",
1352320,,"あげる","to give","jmdict","上げる"
1428280,"朝","あさ","morning","waller",
1586330,"朝御飯","あさごはん","breakfast","waller",
1586330,"朝ご飯","あさごはん","breakfast","jmdict","朝御飯"
1586330,"朝ごはん","あさごはん","breakfast","jmdict","朝御飯"
1584640,,"あさって","day after tomorrow","waller",
1584640,,"あさって","day after tomorrow","jmdict","あさって"
1584640,,"みょうごにち","day after tomorrow","jmdict","あさって"
1404630,"足","あし","foot, leg","waller",
1404630,,"あし","foot, leg","jmdict","足"
1584660,"明日","あした","tomorrow","waller",
1584660,"明日","あす","tomorrow","jmdict","あした"
1584660,"明日","みょうにち","tomorrow","jmdict","あした"
1000320,,"あそこ","over there","waller",
1000320,,"あそこ","over there","jmdict","あそこ"
1000320,,"あすこ","over there","jmdict","あそこ"
1000320,,"かしこ","over there","jmdict","あそこ"
1000320,,"あしこ","over there","jmdict","あそこ"
1000320,,"あこ","over there","jmdict","あそこ"
1000320,,"アソコ","over there","jmdict","あそこ"
1542160,"遊ぶ","あそぶ","to play, to make a visit","waller",
1542160,"遊ぶ","あすぶ","to play, to make a visit","jmdict","あそぶ"
1586420,"暖かい","あたたかい","warm","waller",
1586420,"暖かい","あったかい","warm","jmdict","あたたかい"
1586420,,"あたたかい","warm","jmdict","暖かい"
1586420,,"あったかい","warm","jmdict","暖かい"
1586420,"暖い","あたたかい","warm","jmdict","暖かい"
1586420,"暖い","あったかい","warm","jmdict","暖かい"
1582310,"頭","あたま","head","waller",
1582310,"頭","かしら","head","jmdict","あたま"
1361490,"新しい","あたらしい","new","waller",
1361490,"新らしい","あたらしい","new","jmdict","新しい"
1483185,,"あちら","there","waller",
1483185,,"あちら","there","jmdict","あっち"
1483185,,"あっち","there","jmdict","あちら"
1483185,,"あち","there","jmdict","あちら・あっち"
1343460,"暑い","あつい","hot","waller",
1467720,"熱い","あつい","hot to the touch","waller",
1275320,"厚い","あつい","kind, deep, thick","waller",
1275320,,"あつい","kind, deep, thick","jmdict","厚い"
1483185,,"あっち","over there","waller",
1269320,"後","あと","afterwards","waller",
1223615,"貴方","あなた","you","waller",
1223615,,"あなた","you","jmdict","貴方"
1249900,"兄","あに","(humble) older brother","waller",
1307630,"姉","あね","(humble) older sister","waller",
1307630,,"あね","(humble) older sister","jmdict","姉"
1000430,,"あの","um...","waller",
1000430,,"あのー","um...","jmdict","あの"
1000430,,"あのう","um...","jmdict","あの"
1017760,,"アパート","apartment","waller",
1547450,,"あびる","to bathe, to shower","waller",
1547450,,"あびる","to bathe, to shower","jmdict","あびる"
1218380,"危ない","あぶない","dangerous","waller",
1213400,"甘い","あまい","sweet","waller",
1584930,,"あまり","not very","waller",
1584930,,"あまり","not very","jmdict","あまり"
1584930,,"あんまり","not very","jmdict","あまり"
1171900,"雨","あめ","rain","waller",
1153520,"飴","あめ","candy","waller",
1390930,"洗う","あらう","to wash","waller",
1296400,"有る","ある","to be,to have (used for inanimate objects)","waller",
1296400,,"ある","to be,to have (used for inanimate objects)","jmdict","有る"
1514320,"歩く","あるく","to walk","waller",
1000580,,"あれ","that","waller",
1000580,,"あれ","that","jmdict","あれ"
2820690,,"いい","good","waller",
1605820,"良い","よい","good","waller",
1605820,"良い","えい","good","jmdict","よい"
1605820,,"よい","good","jmdict","良い"
1605820,,"えい","good","jmdict","良い"
1583250,,"いいえ","no","waller",
1583250,,"いえ","no","jmdict","いいえ"
1587040,"言う","いう","to say","waller",
1587040,"言う","ゆう","to say","jmdict","いう"
1587040,,"いう","to say","jmdict","言う"
1587040,,"ゆう","to say","jmdict","言う"
1191730,"家","いえ","house","waller",
2845606,,"いかが","how","waller",
2845606,,"いかが","how","jmdict","いかが"
1578850,"行く","いく","to go","waller",
1578850,,"いく","to go","jmdict","行く"
1578850,,"ゆく","to go","jmdict","行く"
1219960,,"いくつ","how many?,how old?","waller",
1219960,,"いくつ","how many?,how old?","jmdict","いくつ"
1219980,,"いくら","how much?","waller",
1219980,,"いくら","how much?","jmdict","いくら"
1421700,"池","いけ","pond","waller",
1159980,"医者","いしゃ","medical doctor","waller",
1157070,,"いす","chair","waller",
1157070,,"いす","chair","jmdict","いす"
1157070,,"イス","chair","jmdict","いす"
1519290,"忙しい","いそがしい","busy, irritated","waller",
1519290,"忙がしい","いそがしい","busy, irritated","jmdict","忙しい"
1432680,"痛い","いたい","painful","waller",
1432680,,"いたい","painful","jmdict","痛い"
1160790,"一","いち","one","waller",
1160790,"１","いち","one","jmdict","一"
1160790,,"いち","one","jmdict","一"
1576260,"一日","いちにち","first of the month","waller",
1576260,"一日","いちじつ","first of the month","jmdict","いちにち"
1576260,"１日","いちにち","first of the month","jmdict","一日"
1576260,"１日","いちじつ","first of the month","jmdict","一日"
1165970,,"いちばん","best, first","waller",
1165970,,"いちばん","best, first","jmdict","いちばん"
1188760,"何時","いつ","when","waller",
1188760,,"いつ","when","jmdict","何時"
1268570,"五日","いつか","five days, fifth day","waller",
1268570,"５日","いつか","five days, fifth day","jmdict","五日"
1163400,"一緒","いっしょ","together","waller",
1163400,"一しょ","いっしょ","together","jmdict","一緒"
1268070,"五つ","いつつ","five","waller",
1268070,"５つ","いつつ","five","jmdict","五つ"
1268070,,"いつつ","five","jmdict","五つ"
1188890,,"いつも","always","waller",
1188890,,"いつも","always","jmdict","いつも"
1258330,"犬","いぬ","dog","waller",
1258330,,"いぬ","dog","jmdict","犬"
1258330,,"イヌ","dog","jmdict","犬"
1288850,"今","いま","now","waller",
1156800,"意味","いみ","meaning","waller",
1524590,"妹","いもうと","(humble) younger sister","waller",
1587610,"嫌","いや","unpleasant","waller",
1587610,"嫌","や","unpleasant","jmdict","いや"
1587610,,"いや","unpleasant","jmdict","嫌"
1587610,,"や","unpleasant","jmdict","嫌"
1587610,,"イヤ","unpleasant","jmdict","嫌"
1582820,"入口","いりぐち","entrance","waller",
1582820,"入口","いりくち","entrance","jmdict","いりぐち"
1582820,"入口","はいりぐち","entrance","jmdict","いりぐち"
1582820,"入口","はいりくち","entrance","jmdict","いりぐち"
1582820,"入り口","いりぐち","entrance","jmdict","入口"
1582820,"入り口","いりくち","entrance","jmdict","入口"
1582820,"入り口","はいりぐち","entrance","jmdict","入口"
1582820,"入り口","はいりくち","entrance","jmdict","入口"
1577980,"居る","いる","to be, to have (used for people and animals)","waller",
1546640,"要る","いる","to need","waller",
1465610,"入れる","いれる","to put in","waller",
1465610,,"いれる","to put in","jmdict","入れる"
1357600,"色","いろ","colour","waller",
1587850,,"いろいろ","various","waller",
1587850,,"いろいろ","various","jmdict","いろいろ"
1352130,"上","うえ","on top of","waller",
1269410,"後ろ","うしろ","behind","waller",
1269410,"後","うしろ","behind","jmdict","後ろ"
1475480,"薄い","うすい","thin,weak","waller",
1193180,"歌","うた","song","waller",
1193180,,"うた","song","jmdict","歌"
1588120,"歌う","うたう","to sing","waller",
1588120,,"うたう","to sing","jmdict","歌う"
1378690,"生まれる","うまれる","to be born","waller",
1378690,,"うまれる","to be born","jmdict","生まれる"
1378690,"生れる","うまれる","to be born","jmdict","生まれる"
1201190,"海","うみ","sea","waller",
1201190,"海","み","sea","jmdict","うみ"
1201190,"海","わた","sea","jmdict","うみ"
1201190,"海","わだ","sea","jmdict","うみ"
1473950,"売る","うる","to sell","waller",
1481920,"煩い","うるさい","noisy, annoying","waller",
1481920,,"うるさい","noisy, annoying","jmdict","煩い"
1481920,"煩さい","うるさい","noisy, annoying","jmdict","煩い"
1481920,,"ウルサイ","noisy, annoying","jmdict","煩い"
1481920,,"うっさい","noisy, annoying","jmdict","煩い"
1580340,"上着","うわぎ","jacket","waller",
1580340,,"うわぎ","jacket","jmdict","上着"
1580340,,"じょうい","jacket","jmdict","上着"
1202270,"絵","え","picture","waller",
1202270,,"え","picture","jmdict","絵"
1202270,,"が","picture","jmdict","絵"
1173720,"映画","えいが","movie","waller",
1173750,"映画館","えいがかん","cinema","waller",
1174420,"英語","えいご","English language","waller",
1001140,,"ええ","yes","waller",
1001140,,"えー","yes","jmdict","ええ"
1175140,"駅","えき","station","waller",
1175140,,"えき","station","jmdict","駅"
1030630,,"エレベーター","elevator","waller",
1030630,,"エレベータ","elevator","jmdict","エレベーター"
1178590,"鉛筆","えんぴつ","pencil","waller",
1178590,,"エンピツ","pencil","jmdict","鉛筆"
1486650,,"おいしい","delicious","waller",
1486650,,"おいしい","delicious","jmdict","おいしい"
1486650,,"オイシイ","delicious","jmdict","おいしい"
1407460,"多い","おおい","many","waller",
1588880,"大きい","おおきい","big","waller",
1412890,"大きな","おおきな","big","waller",
1414220,"大勢","おおぜい","great number of people","waller",
1414220,"大勢","たいぜい","great number of people","jmdict","おおぜい"
1414220,"大ぜい","おおぜい","great number of people","jmdict","大勢"
1414220,"大ぜい","たいぜい","great number of people","jmdict","大勢"
1002650,"お母さん","おかあさん","(honorable) mother","waller",
1002650,,"おかあさん","(honorable) mother","jmdict","お母さん"
1001710,"お菓子","おかし","sweets, candy","waller",
1001710,,"おかし","sweets, candy","jmdict","お菓子"
1001820,"お金","おかね","money","waller",
1001820,,"おかね","money","jmdict","お金"
1223640,"起きる","おきる","to get up","waller",
1421850,"置く","おく","to put","waller",
1421850,,"おく","to put","jmdict","置く"
1179330,"奥さん","おくさん","(honorable) wife","waller",
1329015,"お酒","おさけ","alcohol, rice wine","waller",
1329015,,"おさけ","alcohol, rice wine","jmdict","お酒"
1329015,,"ごしゅ","alcohol, rice wine","jmdict","お酒"
1299685,"お皿","おさら","plate, dish","waller",
1002320,,"おじいさん","grandfather, male senior citizen","waller",
1002320,,"おじいさん","grandfather, male senior citizen","jmdict","おじいさん"
1236900,"教える","おしえる","to teach, to tell","waller",
